sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
5006;SDS011;2522;50.972;11.046;2019-01-01T00:00:00;101.73;;;43.93;;
10289;SDS011;5190;42.698;23.342;2019-01-01T00:00:00;105.50;;;81.75;;
11098;SDS011;5603;42.650;23.364;2019-01-01T00:00:00;106.10;;;59.43;;
11279;SDS011;5696;50.928;6.960;2019-01-01T00:00:00;118.10;;;79.27;;
18909;SDS011;9587;45.428;4.404;2019-01-01T00:00:00;1.20;;;1.20;;
8490;SDS011;4282;49.986;7.938;2019-01-01T00:00:00;125.00;;;84.22;;
1959;SDS011;980;43.794;11.212;2019-01-01T00:00:00;137.40;;;123.02;;
9559;SDS011;4818;50.860;4.647;2019-01-01T00:00:00;14.63;;;13.07;;
15277;SDS011;7740;48.920;8.760;2019-01-01T00:00:00;150.97;;;134.52;;
11897;SDS011;6008;51.045;13.698;2019-01-01T00:00:00;15.23;;;13.73;;
12480;SDS011;6305;48.398;11.762;2019-01-01T00:00:00;153.87;;;58.53;;
828;SDS011;396;52.559;13.188;2019-01-01T00:00:00;160.72;;;94.97;;
10102;SDS011;5091;53.892;11.468;2019-01-01T00:00:00;16.40;;;10.23;;
525;SDS011;249;48.135;11.504;2019-01-01T00:00:00;190.88;;;147.25;;
2760;SDS011;1388;48.432;9.065;2019-01-01T00:00:00;200.33;;;102.27;;
8785;SDS011;4429;50.928;4.706;2019-01-01T00:00:00;20.53;;;12.83;;
6473;SDS011;3270;47.645;8.169;2019-01-01T00:00:00;20.80;;;9.65;;
13891;SDS011;7016;48.172;8.059;2019-01-01T00:00:00;238.03;;;197.57;;
5587;SDS011;2816;49.778;9.985;2019-01-01T00:00:00;239.00;;;144.23;;
7599;SDS011;3841;49.441;11.126;2019-01-01T00:00:00;264.50;;;188.00;;
19629;SDS011;9962;47.851;12.111;2019-01-01T00:00:00;265.23;;;123.07;;
14811;SDS011;7497;57.705;11.900;2019-01-01T00:00:00;27.37;;;6.40;;
8663;SDS011;4369;47.843;13.096;2019-01-01T00:00:00;275.30;;;184.67;;
14909;SDS011;7547;52.093;7.621;2019-01-01T00:00:00;41.37;;;31.47;;
16510;SDS011;8368;48.771;8.754;2019-01-01T00:00:00;432.43;;;234.13;;
10088;SDS011;5083;49.870;8.664;2019-01-01T00:00:00;43.60;;;33.77;;
8213;SDS011;4148;47.975;7.824;2019-01-01T00:00:00;454.83;;;273.20;;
2179;SDS011;4284;50.403;8.248;2019-01-01T00:00:00;469.85;;;372.65;;
8877;SDS011;4475;50.810;7.118;2019-01-01T00:00:00;48.47;;;35.40;;
3793;SDS011;1912;51.359;12.282;2019-01-01T00:00:00;50.30;;;23.67;;
11143;SDS011;5626;44.729;10.276;2019-01-01T00:00:00;50.53;;;37.13;;
12096;SDS011;6111;50.913;5.397;2019-01-01T00:00:00;52.37;;;36.30;;
6669;SDS011;3371;53.495;9.994;2019-01-01T00:00:00;53.43;;;42.83;;
10283;SDS011;5187;52.379;9.018;2019-01-01T00:00:00;55.60;;;34.67;;
15082;SDS011;7640;53.116;6.877;2019-01-01T00:00:00;58.70;;;37.20;;
7462;SDS011;3773;49.164;9.176;2019-01-01T00:00:00;59.43;;;47.83;;
8526;SDS011;4301;48.362;8.477;2019-01-01T00:00:00;60.63;;;36.73;;
7203;SDS011;3643;52.460;13.321;2019-01-01T00:00:00;61.83;;;36.60;;
187;SDS011;82;48.778;9.160;2019-01-01T00:00:00;625.77;;;340.92;;
9498;SDS011;4787;50.833;4.384;2019-01-01T00:00:00;6.53;;;4.60;;
8108;SDS011;4097;47.813;12.375;2019-01-01T00:00:00;66.45;;;57.03;;
8546;SDS011;4311;50.086;8.233;2019-01-01T00:00:00;698.20;;;517.17;;
16731;SDS011;8484;50.904;9.192;2019-01-01T00:00:00;71.50;;;35.23;;
3649;SDS011;1841;48.833;8.839;2019-01-01T00:00:00;71.70;;;35.97;;
17241;SDS011;8737;49.575;10.988;2019-01-01T00:00:00;92.53;;;74.80;;
9479;SDS011;4778;44.510;11.379;2019-01-01T00:00:00;96.73;;;78.07;;
9563;SDS011;4820;50.869;4.702;2019-01-01T00:00:01;10.27;;;9.20;;
9567;SDS011;4822;50.862;4.711;2019-01-01T00:00:01;10.77;;;9.03;;
15732;SDS011;7968;50.993;4.266;2019-01-01T00:00:01;11.73;;;8.73;;
12505;SDS011;6317;50.863;4.677;2019-01-01T00:00:01;12.00;;;10.43;;
16197;SDS011;8206;51.440;6.914;2019-01-01T00:00:01;127.13;;;76.23;;
6967;SDS011;3524;42.643;23.270;2019-01-01T00:00:01;127.27;;;37.10;;
12478;SDS011;6304;48.759;9.301;2019-01-01T00:00:01;137.97;;;74.17;;
673;SDS011;319;48.763;9.175;2019-01-01T00:00:01;147.30;;;110.23;;
7899;SDS011;3995;50.856;4.404;2019-01-01T00:00:01;16.75;;;11.20;;
5660;SDS011;6765;51.494;7.249;2019-01-01T00:00:01;179.03;;;118.67;;
1048;SDS011;513;51.443;7.197;2019-01-01T00:00:01;180.27;;;113.90;;
16446;SDS011;8333;55.660;12.591;2019-01-01T00:00:01;1.87;;;1.60;;
